Delito;SubDelito;Fecha;Hora;Victima;SubVictima;Edad;Genero;Nacionalidad;Provincia;Canton
HOMICIDIO;POR LA COMISION DE OTRO DELITO;13/10/2022;18:00:00 - 20:59:59;PERSONA;GUARDA [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;LIMON;POCOCÍ
HOMICIDIO;POR LA COMISION DE OTRO DELITO;14/10/2022;06:00:00 - 08:59:59;PERSONA;EMPRESARIO/COMERCIANTE [PERSONA];Mayor de edad;HOMBRE;ARGENTINA;PUNTARENAS;QUEPOS
HOMICIDIO;POR LA COMISION DE OTRO DELITO;19/10/2022;18:00:00 - 20:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;DESCONOCIDO;COSTA RICA;HEREDIA;SANTO DOMINGO
HOMICIDIO;POR LA COMISION DE OTRO DELITO;29/10/2022;21:00:00 - 23:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;SAN JOSÉ
HOMICIDIO;POR LA COMISION DE OTRO DELITO;9/10/2022;06:00:00 - 08:59:59;PERSONA;USUARIO SERVICIO PUBLICO/PRIVADO [PERSONA];Mayor de edad;HOMBRE;NICARAGUA;SAN JOSE;PÉREZ ZELEDÓN
HOMICIDIO;PROFESIONAL;6/1/2022;03:00:00 - 05:59:59;PERSONA;PEATON [PERSONA];Menor de edad;HOMBRE;COSTA RICA;PUNTARENAS;ESPARZA
HOMICIDIO;PROFESIONAL;8/4/2022;00:00:00 - 02:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COLOMBIA;PUNTARENAS;ESPARZA
HOMICIDIO;PROFESIONAL;12/5/2022;03:00:00 - 05:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;MUJER;COSTA RICA;PUNTARENAS;MONTES DE ORO
HOMICIDIO;PROFESIONAL;15/9/2022;15:00:00 - 17:59:59;PERSONA;CLIENTE LOCAL COMERCIAL [PERSONA];Mayor de edad;MUJER;COSTA RICA;PUNTARENAS;PUNTARENAS
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;19/1/2022;12:00:00 - 14:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;GUANACASTE;CARRILLO
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;19/1/2022;09:00:00 - 11:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;SAN JOSÉ
HOMICIDIO;OTRO O INDETERMINADO;20/11/2022;00:00:00 - 02:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;LIMON;LIMÓN
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;27/2/2022;00:00:00 - 02:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;DESCONOCIDO;Desconocido;SAN JOSE;SAN JOSÉ
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;27/2/2022;15:00:00 - 17:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;LIMON;POCOCÍ
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;5/3/2022;15:00:00 - 17:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;DESCONOCIDO;Desconocido;SAN JOSE;SAN JOSÉ
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;26/3/2022;21:00:00 - 23:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;GOICOECHEA
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;17/4/2022;21:00:00 - 23:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;HEREDIA;SAN RAFAEL
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;21/4/2022;12:00:00 - 14:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Desconocido;HOMBRE;NICARAGUA;ALAJUELA;SAN RAMON
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;13/5/2022;09:00:00 - 11:59:59;PERSONA;PEATON [PERSONA];Desconocido;MUJER;Desconocido;PUNTARENAS;ESPARZA
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;4/6/2022;18:00:00 - 20:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;ALAJUELITA
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;12/6/2022;00:00:00 - 02:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;SAN JOSÉ
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;20/6/2022;00:00:00 - 02:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;DESCONOCIDO;COSTA RICA;SAN JOSE;MONTES DE OCA
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;13/8/2022;15:00:00 - 17:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;SAN JOSÉ
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;13/8/2022;15:00:00 - 17:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;SAN JOSÉ
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;29/8/2022;12:00:00 - 14:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;PUNTARENAS;GOLFITO
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;7/10/2022;21:00:00 - 23:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;ALAJUELA;ALAJUELA
HOMICIDIO;REPELIENDO ACTIVIDAD CRIMINAL;7/10/2022;21:00:00 - 23:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Desconocido;HOMBRE;Desconocido;ALAJUELA;ALAJUELA
HOMICIDIO;VIOLENCIA DOMESTICA;9/1/2022;12:00:00 - 14:59:59;PERSONA;MENOR DE EDAD [PERSONA];Menor de edad;DESCONOCIDO;COSTA RICA;CARTAGO;EL GUARCO
HOMICIDIO;VIOLENCIA DOMESTICA;17/1/2022;09:00:00 - 11:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Adulto Mayor;MUJER;COSTA RICA;HEREDIA;SAN ISIDRO
HOMICIDIO;VIOLENCIA DOMESTICA;9/4/2022;18:00:00 - 20:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;DESCONOCIDO;COSTA RICA;ALAJUELA;SAN RAMON
HOMICIDIO;POR LA COMISION DE OTRO DELITO;19/6/2022;06:00:00 - 08:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;LIMON;LIMÓN
HOMICIDIO;VIOLENCIA DOMESTICA;1/6/2022;06:00:00 - 08:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;DESCONOCIDO;COSTA RICA;CARTAGO;JIMÉNEZ
HOMICIDIO;VIOLENCIA DOMESTICA;12/6/2022;15:00:00 - 17:59:59;PERSONA;CLIENTE LOCAL COMERCIAL [PERSONA];Mayor de edad;MUJER;COSTA RICA;GUANACASTE;TILARÁN
HOMICIDIO;VIOLENCIA DOMESTICA;18/6/2022;00:00:00 - 02:59:59;PERSONA;MENOR DE EDAD [PERSONA];Desconocido;DESCONOCIDO;Desconocido;ALAJUELA;ALAJUELA
HOMICIDIO;VIOLENCIA DOMESTICA;25/6/2022;18:00:00 - 20:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;COSTA RICA;SAN JOSE;SANTA ANA
HOMICIDIO;VIOLENCIA DOMESTICA;14/8/2022;15:00:00 - 17:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;HOMBRE;REINO UNIDO;ALAJUELA;ALAJUELA
HOMICIDIO;VIOLENCIA DOMESTICA;23/8/2022;00:00:00 - 02:59:59;PERSONA;PEATON [PERSONA];Mayor de edad;MUJER;COSTA RICA;LIMON;LIMÓN
HOMICIDIO;VIOLENCIA DOMESTICA;10/9/2022;09:00:00 - 11:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;DESCONOCIDO;COSTA RICA;ALAJUELA;ALAJUELA
HOMICIDIO;VIOLENCIA DOMESTICA;30/10/2022;18:00:00 - 20:59:59;PERSONA;OTRO O INDETERMINADO [PERSONA];Mayor de edad;DESCONOCIDO;NICARAGUA;SAN JOSE;SAN JOSÉ
